id;text;category;left;right
swi006;Czy uważasz, że edukacja powinna być całkowicie darmowa?;Światopoglądowe;NIE;TAK
swi005;Czy uważasz, że każdy powinien mieć prawo do zmiany zawodu w każdym wieku?;Światopoglądowe;NIE;TAK
wol004;Wolisz oglądać filmy w kinie czy w domu?;Wolisz;W KINIE;W DOMU
fun005;Czy zdarza Ci się śpiewać pod prysznicem?;Śmieszne;NIE;TAK
luz005;Czy rozważyłbyś podróż kosmiczną, gdyby była możliwa?;Luźne;NIE;TAK
swi006;Czy uważasz, że edukacja powinna być całkowicie darmowa?;Światopoglądowe;NIE;TAK
fun002;Czy zdarza Ci się śmiać z własnych żartów?;Śmieszne;NIE;TAK
luz002;Czy jadłbyś pizzę na śniadanie?;Luźne;NIE;TAK
swi003;Czy uważasz, że zmiany klimatu są największym wyzwaniem współczesności?;Światopoglądowe;NIE;TAK
wol002;Wolisz spędzać wakacje w górach czy nad morzem?;Wolisz;GÓRY;MORZE
fun003;Czy potrafisz tańczyć bez muzyki?;Śmieszne;NIE;TAK
luz003;Czy kiedykolwiek rozmawiałbyś z rośliną?;Luźne;NIE;TAK
swi004;Czy uważasz, że sztuczna inteligencja będzie miała większy wpływ niż Internet?;Światopoglądowe;NIE;TAK
wol003;Wolisz kawę czy herbatę rano?;Wolisz;KAWĘ;HERBATĘ
fun004;Czy zdarzyło Ci się zaśmiać w kinie w nieodpowiednim momencie?;Śmieszne;NIE;TAK
luz004;Czy kiedyś jadłeś lody zimą?;Luźne;NIE;TAK
