id;text;category;left;right
dyl001;Wolisz codziennie dostawać list od nieznajomego czy nigdy nie dostawać żadnej wiadomości?;Dylematy;CODZIENNIE OD NIEZNAJOMEGO;NIGDY OD NIKOGO
dyl002;Wolisz mieć zawsze idealnie dopasowane ubrania czy zawsze modną fryzurę?;Dylematy;DOPASOWANE UBRANIA;MODNA FRYZURA
dyl003;Wolisz chodzić do pracy w piżamie czy na spotkania w stroju kąpielowym?;Dylematy;PIŻAMA DO PRACY;STRÓJ KĄPIELOWY NA SPOTKANIA
dyl004;Wolisz móc rozwiązać każdy problem matematyczny czy znać odpowiedź na każde pytanie dotyczące historii?;Dylematy;PROBLEM MATEMATYCZNY;PYTANIE HISTORYCZNE
dyl005;Wolisz nie móc kłamać czy nie móc mówić prawdy?;Dylematy;NIE MÓC KŁAMAĆ;NIE MÓC MÓWIĆ PRAWDY
dyl006;Wolisz mieć zwierzę, które mówi czy lata?;Dylematy;MÓWI;LATA
dyl007;Wolisz móc rozmawiać tylko za pomocą rysunków czy tylko za pomocą muzyki?;Dylematy;RYSUNKI;MUZYKA
dyl008;Wolisz mieć dom na drzewie w lesie czy na plaży?;Dylematy;W LESIE;NA PLAŻY
dyl009;Wolisz zawsze być o 10 minut spóźniony czy o 10 minut za wcześnie?;Dylematy;BYĆ SPÓŹNIONY;BYĆ ZA WCZEŚNIE
dyl010;Wolisz mieć nieskończony dostęp do swojej ulubionej muzyki czy ulubionych filmów?;Dylematy;MUZYKA;FILMY
dyl011;Wolisz mieć możliwość zmiany pogody na jeden dzień czy zmiany swojego wyglądu na ten dzień?;Dylematy;ZMIANA POGODY;ZMIANA WYGLĄDU
dyl012;Wolisz nigdy nie odczuwać głodu czy nigdy nie odczuwać zmęczenia?;Dylematy;NIE ODCZUWAĆ GŁODU;NIE ODCZUWAĆ ZMĘCZENIA
dyl013;Wolisz być najzabawniejszą osobą w grupie czy najbardziej poważną?;Dylematy;NAJZABAWNIEJSZĄ;NAJPOWAŻNIEJSZĄ
dyl014;Wolisz mieć gigantyczne stopy czy malutkie ręce?;Dylematy;GIGANTYCZNE STOPY;MALUTKIE RĘCE
dyl015;Wolisz mieć możliwość cofania czasu o 5 minut raz dziennie czy przewidywania przyszłości na 10 sekund?;Dylematy;COFANIE 5 MINUT;PRZEWIDYWANIE 10 SEKUND
dyl016;Wolisz nigdy nie słyszeć muzyki czy nigdy nie widzieć filmów?;Dylematy;NIGDY MUZYKA;NIGDY FILM
dyl017;Wolisz mieć super pamięć do liczb czy do twarzy?;Dylematy;LICZBY;TWARZE
dyl018;Wolisz spędzić tydzień w całkowitej ciszy czy w ciągłym hałasie?;Dylematy;CISZA;HAŁAS
dyl019;Wolisz móc cofnąć jedną rozmowę z przeszłości czy przewidzieć wynik jednej przyszłej rozmowy?;Dylematy;COFNĄĆ;PRZEWIDZIEĆ
dyl020;Wolisz mieszkać na księżycu czy pod wodą?;Dylematy;NA KSIĘŻYCU;POD WODĄ
dyl021;Wolisz jeść tylko słodycze przez miesiąc czy tylko warzywa?;Dylematy;SŁODYCZE;WARZYWA
dyl022;Wolisz móc zmieniać swój wygląd codziennie czy zmieniać głos na dowolny?;Dylematy;WYGLĄD;GŁOS
dyl023;Wolisz jeść tylko słodkie przez tydzień czy tylko słone?;Dylematy;SŁODKIE;SŁONE
dyl024;Wolisz, żeby Twój telefon miał zawsze 10% baterii czy był zawsze wyciszony?;Dylematy;10% BATERII;WYCISZONY
dyl025;Wolisz zostać bohaterem filmu akcji czy komedii romantycznej?;Dylematy;FILM AKCJI;KOMEDIA ROMANTYCZNA
dyl026;Wolisz zawsze zapominać twarze znajomych czy ich imiona?;Dylematy;TWARZE;IMIONA
dyl027;Wolisz być bohaterem książki czy filmu?;Dylematy;KSIĄŻKI;FILMU
dyl028;Wolisz mówić tylko w rymach czy tylko śpiewać?;Dylematy;MÓWIĆ W RYMACH;ŚPIEWAĆ
dyl029;Wolałbyś mieszkać w przyszłości czy w przeszłości?;Dylematy;W PRZYSZŁOŚCI;W PRZESZŁOŚCI
dyl030;Wolisz gry offline czy online?;Dylematy;OFFLINE;ONLINE
dyl031;Wolisz, żeby każdy słyszał Twoje myśli czy żebyś Ty słyszał myśli wszystkich?;Dylematy;WSZYSCY TWOJE;TY WSZYSTKICH
dyl032;Wolisz mieć zawsze poplątany kabel od słuchawek czy nigdy nie móc znaleźć ładowarki?;Dylematy;POPLĄTANE SŁUCHAWKI;ZGUBIONA ŁADOWARKA
dyl033;Wolisz zawsze zapominać imion czy twarzy?;Dylematy;ZAPOMINAĆ IMION;ZAPOMINAĆ TWARZY
dyl034;Wolisz nigdy nie mieć kaca czy nigdy nie odczuwać zmęczenia?;Dylematy;BRAK KACA;BRAK ZMĘCZENIA
dyl035;Wolisz mieć super moc zmiany koloru włosów na życzenie czy zmiany koloru oczu?;Dylematy;KOLOR WŁOSÓW;KOLOR OCZU
dyl036;Wolisz nigdy nie używać emoji czy nigdy nie używać memów?;Dylematy;NIE UŻYWAĆ EMOJI;NIE UŻYWAĆ MEMÓW
dyl037;Wolisz mieć w kieszeni zawsze 10 groszy czy 5 cukierków?;Dylematy;10 GROSZY;5 CUKIERKÓW
dyl038;Wolisz mieć głos jak kaczka czy chodzić jak pingwin?;Dylematy;GŁOS JAK KACZKA;CHODZIĆ JAK PINGWIN
dyl039;Wolisz mieć umiejętność czytania książek w sekundę czy nauki nowych języków w godzinę?;Dylematy;CZYTANIE KSIĄŻEK;NAUKA JĘZYKÓW
dyl040;Wolisz mieć nieskończoną ilość baterii w telefonie czy darmowy dostęp do internetu gdziekolwiek?;Dylematy;BATERIA;INTERNET
dyl041;Wolałbyś żyć w świecie bez kolorów czy bez dźwięków?;Dylematy;BEZ KOLORÓW;BEZ DZWIĘKÓW
dyl042;Wolałbyś móc jeździć na rowerze po wodzie czy na nim latać?;Dylematy;JEŹDZIĆ PO WODZIE;LATAĆ
dyl043;Wolałbyś mieć talent do gotowania czy do majsterkowania?;Dylematy;GOTOWANIE;MAJSTERKOWANIE
dyl044;Wolisz mieć super moc teleportacji, ale tylko do łazienki, czy umieć latać, ale tylko na 1 metr?;Dylematy;TELEPORTACJA;LATANIE
dyl045;Wolisz mieć talent do śpiewania czy do tańca?;Dylematy;ŚPIEW;TANIEC
