id;text;category
fun001;Czy Twoje myśli odpływają w kosmos, gdy ktoś coś tłumaczy?;Śmieszne
fun002;Czy potrafisz zgubić coś, co trzymasz w ręce?;Śmieszne
fun003;Czy udajesz, że rozumiesz, o czym ktoś mówi?;Śmieszne
fun004;Czy Twoja reakcja na niespodziankę to zwykle szok i zamieszanie?;Śmieszne
fun005;Czy Twoje życie to ciągłe szukanie okularów, które masz na głowie?;Śmieszne
fun006;Czy jesteś specjalistą od przewracania się o nic?;Śmieszne
fun007;Czy Twój śmiech rozśmiesza innych bardziej niż żart?;Śmieszne
fun008;Czy próbujesz otworzyć drzwi pilotem od auta?;Śmieszne
fun009;Czy potrafisz zgubić się w sklepie, który znasz od lat?;Śmieszne
fun010;Czy Twoje reakcje przypominają memy?;Śmieszne
fun011;Czy zdarza Ci się mówić do zwierząt, jak do ludzi?;Śmieszne
fun012;Czy potrafisz śpiewać pod prysznicem, nawet jeśli nie znasz słów?;Śmieszne
fun013;Czy zdarza Ci się gubić telefon, mając go w ręce?;Śmieszne
fun014;Czy potrafisz zapomnieć, co robiłeś dosłownie kilka sekund temu?;Śmieszne
fun015;Czy kiedykolwiek próbowałeś zrobić coś zbyt skomplikowanego i skończyło się to katastrofą?;Śmieszne
fun016;Czy masz talent do zapominania, gdzie zostawiłeś klucze?;Śmieszne
fun017;Czy zdarza Ci się śmiać w zupełnie nieodpowiednich momentach?;Śmieszne
fun018;Czy masz wrażenie, że Twój komputer działa wolniej, kiedy ktoś na Ciebie patrzy?;Śmieszne
fun019;Czy zdarza Ci się mylić dni tygodnia?;Śmieszne
fun020;Czy potrafisz wyobrazić sobie życie bez kawy (nawet na minutę)?;Śmieszne
fun021;Czy często zapominasz, co chciałeś powiedzieć w trakcie rozmowy?;Śmieszne
fun022;Czy potrafisz naśladować dźwięki zwierząt?;Śmieszne
fun023;Czy zdarza Ci się robić zakupy z pełnym brzuchem?;Śmieszne
fun024;Czy często próbujesz wymawiać trudne słowa na głos i kończy się to śmiechem?;Śmieszne
fun025;Czy masz talent do przypadkowego włączania mikrofonu w dziwnych momentach?;Śmieszne
fun026;Czy potrafisz zapamiętać tekst piosenki, ale zapominasz, gdzie zostawiłeś telefon?;Śmieszne
fun027;Czy zdarza Ci się zaczynać rozmowę i nagle zapomnieć, o czym mówisz?;Śmieszne
fun028;Czy potrafisz zapomnieć, dlaczego wszedłeś do innego pokoju?;Śmieszne
fun029;Czy masz specjalną technikę na znalezienie zgubionych rzeczy (nawet jeśli to działa przez przypadek)?;Śmieszne
fun030;Czy Twoje zwierzęta czasem patrzą na Ciebie, jakbyś był dziwny?;Śmieszne
fun031;Czy potrafisz znaleźć coś, czego szukałeś dopiero wtedy, gdy już się poddasz?;Śmieszne
fun032;Czy zdarza Ci się śpiewać głośniej niż muzyka w słuchawkach?;Śmieszne
fun033;Czy Twój mózg czasem robi przerwę bez pytania?;Śmieszne
fun034;Czy masz talent do rozlewania napojów w najbardziej nieodpowiednich momentach?;Śmieszne
fun035;Czy potrafisz zapomnieć, co chciałeś kupić zaraz po wejściu do sklepu?;Śmieszne
fun036;Czy czasem mówisz coś głośno, a potem zastanawiasz się, czy ktoś to usłyszał?;Śmieszne
fun037;Czy zdarza Ci się być pewnym, że coś gdzieś położyłeś, a potem okazuje się, że masz to w ręce?;Śmieszne
fun038;Czy potrafisz zrobić z siebie burrito zawijając się w koc?;Śmieszne
fun039;Czy Twoja lodówka bywa otwierana bez powodu (tak po prostu)?;Śmieszne
fun040;Czy zdarza Ci się mówić 'gdzie mój telefon?!' – trzymając go w ręce?;Śmieszne
fun041;Czy zdarza Ci się mówić do siebie i udawać, że ktoś Ci odpowiada?;Śmieszne
fun042;Czy potrafisz zjeść coś bardzo ostrego i potem udawać, że nic się nie dzieje?;Śmieszne
fun043;Czy Twoja ulubiona czynność to przekładanie rzeczy z miejsca na miejsce bez powodu?;Śmieszne
fun044;Czy zdarza Ci się tak mocno skupić na grze, że zapominasz o całym świecie?;Śmieszne
fun045;Czy potrafisz przez przypadek kliknąć „wyślij”, zanim skończysz pisać wiadomość?;Śmieszne
fun046;Czy Twój umysł czasem idzie na wakacje, gdy ktoś coś tłumaczy?;Śmieszne
fun047;Czy zdarza Ci się włączyć czajnik, zapomnieć o nim i zrobić to jeszcze raz?;Śmieszne
fun048;Czy Twój pies lub kot czasem patrzy na Ciebie jak na dziwaka?;Śmieszne
fun049;Czy potrafisz przypadkiem zadzwonić do kogoś, klikając coś w kieszeni?;Śmieszne
fun050;Czy zdarza Ci się śmiać z czegoś, czego nikt inny nie rozumie?;Śmieszne
fun051;Czy potrafisz zjeść całą paczkę chipsów i udawać, że to nic takiego?;Śmieszne
fun052;Czy Twoja ulubiona pora dnia to ta, kiedy nikt Cię nie widzi?;Śmieszne
fun053;Czy zdarza Ci się ubrać coś na lewą stronę i zorientować się dopiero wieczorem?;Śmieszne
fun054;Czy potrafisz się potknąć o zupełnie nic?;Śmieszne
fun055;Czy Twoje myśli czasem jadą autobusem, a Ty zostajesz na przystanku?;Śmieszne
fun056;Czy zdarza Ci się zacząć coś robić i zapomnieć, po co to robiłeś?;Śmieszne
fun057;Czy potrafisz przez pomyłkę polubić stary post z 2013 roku?;Śmieszne
fun058;Czy Twoje ręce czasem nie wiedzą, co robią – np. wylewając sok na klawiaturę?;Śmieszne
fun059;Czy zdarza Ci się myśleć, że lodówka to najlepszy przyjaciel?;Śmieszne
fun060;Czy potrafisz przez przypadek otworzyć kalkulator, szukając wiadomości?;Śmieszne
fun061;Czy potrafisz zapomnieć, że masz okulary na nosie i szukać ich wszędzie?;Śmieszne
fun062;Czy zdarza Ci się tańczyć samemu w pokoju bez muzyki?;Śmieszne
fun063;Czy potrafisz przez przypadek zablokować telefon twarzą, próbując odebrać?;Śmieszne
fun064;Czy Twoje rozmowy z domowymi sprzętami są coraz bardziej zaawansowane?;Śmieszne
fun065;Czy zdarza Ci się kichnąć tak mocno, że wystraszysz nawet siebie?;Śmieszne
fun066;Czy potrafisz zapomnieć, czy już umyłeś zęby i zrobić to jeszcze raz?;Śmieszne
fun067;Czy Twoje zdjęcia w dowodzie wyglądają, jakbyś był w trakcie krzyku?;Śmieszne
fun068;Czy potrafisz upuścić coś na stopę dokładnie wtedy, gdy jesteś boso?;Śmieszne
fun069;Czy zdarza Ci się machać komuś, kto wcale nie machał do Ciebie?;Śmieszne
fun070;Czy Twój zegar biologiczny ma własne zasady (np. śpisz, gdy nie powinieneś)?;Śmieszne
fun071;Czy Twoje sny czasem są tak dziwne, że boisz się o własny mózg?;Śmieszne
fun072;Czy zdarza Ci się kliknąć 'odśwież' szybciej, niż strona ma szansę się załadować?;Śmieszne
fun073;Czy potrafisz zgubić się we własnym domu, idąc po coś w nocy?;Śmieszne
fun074;Czy zdarza Ci się odebrać telefon i zapomnieć, kto dzwonił, zanim się przedstawi?;Śmieszne
fun075;Czy potrafisz siedzieć godzinami w jednej pozycji, a potem wstać jak robot?;Śmieszne
fun076;Czy Twoje ręce czasem same coś przewracają i patrzysz na nie z niedowierzaniem?;Śmieszne
fun077;Czy zdarza Ci się napisać wiadomość i zapomnieć ją wysłać?;Śmieszne
fun078;Czy potrafisz pomylić ketchup z pastą do zębów (przez nieuwagę)?;Śmieszne
fun079;Czy Twoje rozmowy w windzie trwają wieki, mimo że jadą dwa piętra?;Śmieszne
fun080;Czy zdarza Ci się zapomnieć, że masz słuchawki i wyrwać je z laptopa głową?;Śmieszne
fun081;Czy Twoje oczy czasem otwierają się wcześniej niż reszta ciała?;Śmieszne
fun082;Czy potrafisz wcisnąć 'drzemkę' tyle razy, że spóźniasz się wszędzie?;Śmieszne
fun083;Czy Twoje ubrania czasem same znikają – a potem są w lodówce?;Śmieszne
fun084;Czy zdarza Ci się powiedzieć 'dzień dobry' o 22:00?;Śmieszne
fun085;Czy potrafisz myśleć o jedzeniu już 5 minut po zjedzeniu obiadu?;Śmieszne
fun086;Czy Twoje palce na klawiaturze działają jakby miały własne życie?;Śmieszne
fun087;Czy zdarza Ci się myśleć, że to czwartek, mimo że to poniedziałek?;Śmieszne
fun088;Czy potrafisz udawać powagę, gdy coś jest naprawdę głupie?;Śmieszne
fun089;Czy Twoja poduszka czasem wygląda bardziej kusząco niż cały dzień obowiązków?;Śmieszne
fun090;Czy zdarza Ci się zapomnieć, że coś gotujesz, aż kuchnia przypomni Ci zapachem?;Śmieszne
swi001;Czy uważasz, że panuje równość płci w społeczeństwie?;Światopoglądowe
swi002;Jak bardzo religijny jesteś?;Światopoglądowe
swi003;Czy uważasz, że technologia przynosi więcej dobra niż zła?;Światopoglądowe
swi004;Jak bardzo ważna jest dla Ciebie wolność słowa?;Światopoglądowe
swi005;Czy uważasz, że zmiany klimatu to poważny problem?;Światopoglądowe
swi006;Jak bardzo zgadzasz się z zasadą ‘oko za oko’?;Światopoglądowe
swi007;Czy wierzysz w przeznaczenie?;Światopoglądowe
swi008;Jak ważna jest dla Ciebie tradycja?;Światopoglądowe
swi009;Czy uważasz, że edukacja powinna być darmowa dla wszystkich?;Światopoglądowe
swi010;Jak bardzo ufasz mediom?;Światopoglądowe
swi011;Czy zgadzasz się z ideą, że pieniądze szczęścia nie dają?;Światopoglądowe
swi012;Jak bardzo ważne są dla Ciebie prawa człowieka?;Światopoglądowe
swi013;Czy wierzysz w życie po śmierci?;Światopoglądowe
swi014;Jak bardzo uważasz, że każdy powinien dbać o środowisko?;Światopoglądowe
swi015;Czy uważasz, że wojny są czasem konieczne?;Światopoglądowe
swi016;Jak bardzo cenisz sobie tolerancję wobec innych kultur?;Światopoglądowe
swi017;Czy zgadzasz się z ideą, że każdy człowiek ma prawo do szczęścia?;Światopoglądowe
swi018;Jak ważna jest dla Ciebie równość szans?;Światopoglądowe
swi019;Czy uważasz, że społeczeństwo powinno bardziej pomagać osobom potrzebującym?;Światopoglądowe
swi020;Jak bardzo uważasz, że nauka powinna dominować nad wiarą?;Światopoglądowe
swi021;Czy uważasz, że kara śmierci jest dopuszczalna?;Światopoglądowe
swi022;Jak bardzo popierasz ideę wolności religijnej?;Światopoglądowe
swi023;Czy zgadzasz się z koniecznością ograniczenia konsumpcji dla dobra planety?;Światopoglądowe
swi024;Jak bardzo ważne są dla Ciebie wartości rodzinne?;Światopoglądowe
swi025;Czy uważasz, że media społecznościowe mają pozytywny wpływ na społeczeństwo?;Światopoglądowe
swi026;Jak bardzo zgadzasz się z ideą, że każdy powinien mieć prawo do edukacji?;Światopoglądowe
swi027;Czy uważasz, że praca powinna dawać przede wszystkim satysfakcję, a nie pieniądze?;Światopoglądowe
swi028;Jak bardzo ufasz nauce i badaniom medycznym?;Światopoglądowe
swi029;Czy uważasz, że wolność słowa powinna mieć ograniczenia?;Światopoglądowe
swi030;Jak bardzo uważasz, że każdy powinien ponosić odpowiedzialność za swoje czyny?;Światopoglądowe
swi031;Czy uważasz, że każdy człowiek zasługuje na drugą szansę?;Światopoglądowe
swi032;Jak bardzo wierzysz, że dobro wraca?;Światopoglądowe
swi033;Czy uważasz, że granice między państwami powinny zostać otwarte?;Światopoglądowe
swi034;Jak bardzo zgadzasz się z tym, że zwierzęta mają takie same prawa do życia jak ludzie?;Światopoglądowe
swi035;Czy uważasz, że dzieci powinny mieć prawo współdecydować o swoim życiu?;Światopoglądowe
